,movieId,count,mean,bayesian_avg,title
0,1,215,3.9209302325581397,3.89,Toy Story (1995)
1,2,110,3.4318181818181817,3.42,Jumanji (1995)
2,3,52,3.2596153846153846,3.26,Grumpier Old Men (1995)
3,4,7,2.357142857142857,2.9,Waiting to Exhale (1995)
4,5,49,3.0714285714285716,3.1,Father of the Bride Part II (1995)
5,6,102,3.946078431372549,3.88,Heat (1995)
6,7,54,3.185185185185185,3.2,Sabrina (1995)
7,8,8,2.875,3.09,Tom and Huck (1995)
8,9,16,3.125,3.18,Sudden Death (1995)
9,10,132,3.496212121212121,3.48,GoldenEye (1995)
10,11,70,3.6714285714285713,3.62,"American President, The (1995)"
11,12,19,2.4210526315789473,2.72,Dracula: Dead and Loving It (1995)
12,13,8,3.125,3.2,Balto (1995)
13,14,18,3.8333333333333335,3.62,Nixon (1995)
14,15,13,3.0,3.12,Cutthroat Island (1995)
15,16,82,3.926829268292683,3.85,Casino (1995)
16,17,67,3.7761194029850746,3.71,Sense and Sensibility (1995)
17,18,20,3.7,3.55,Four Rooms (1995)
18,19,88,2.727272727272727,2.78,Ace Ventura: When Nature Calls (1995)
19,20,15,2.5,2.81,Money Train (1995)
20,21,89,3.49438202247191,3.47,Get Shorty (1995)
21,22,36,3.2222222222222223,3.23,Copycat (1995)
22,23,16,3.125,3.18,Assassins (1995)
23,24,28,3.125,3.16,Powder (1995)
24,25,76,3.625,3.58,Leaving Las Vegas (1995)
25,26,13,3.5,3.39,Othello (1995)
26,27,9,3.3333333333333335,3.3,Now and Then (1995)
27,28,11,4.2272727272727275,3.76,Persuasion (1995)
28,29,38,4.0131578947368425,3.85,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,30,3,3.0,3.2,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,31,38,3.1842105263157894,3.2,Dangerous Minds (1995)
31,32,177,3.983050847457627,3.94,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,34,128,3.65234375,3.62,Babe (1995)
33,36,67,3.8358208955223883,3.76,Dead Man Walking (1995)
34,38,4,2.125,2.95,It Takes Two (1995)
35,39,104,3.293269230769231,3.29,Clueless (1995)
36,40,2,4.25,3.42,"Cry, the Beloved Country (1995)"
37,41,15,3.7,3.52,Richard III (1995)
38,42,7,3.0,3.16,Dead Presidents (1995)
39,43,8,3.1875,3.23,Restoration (1995)
40,44,46,2.5434782608695654,2.68,Mortal Kombat (1995)
41,45,32,3.3125,3.3,To Die For (1995)
42,46,15,3.066666666666667,3.15,How to Make an American Quilt (1995)
43,47,203,3.9753694581280787,3.94,Seven (a.k.a. Se7en) (1995)
44,48,68,3.1470588235294117,3.16,Pocahontas (1995)
45,49,1,3.0,3.24,When Night Is Falling (1995)
46,50,204,4.237745098039215,4.19,"Usual Suspects, The (1995)"
47,52,28,3.4642857142857144,3.41,Mighty Aphrodite (1995)
48,53,2,5.0,3.54,Lamerica (1994)
49,54,3,2.3333333333333335,3.05,"Big Green, The (1995)"
50,55,1,4.0,3.33,Georgia (1995)
51,57,8,3.0625,3.18,Home for the Holidays (1995)
52,58,37,4.027027027027027,3.86,"Postman, The (Postino, Il) (1994)"
53,60,34,3.235294117647059,3.24,"Indian in the Cupboard, The (1995)"
54,61,6,3.75,3.44,Eye for an Eye (1996)
55,62,80,3.70625,3.66,Mr. Holland's Opus (1995)
56,63,7,2.7142857142857144,3.04,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
57,64,5,2.2,2.92,Two if by Sea (1996)
58,65,31,2.532258064516129,2.72,Bio-Dome (1996)
59,66,9,2.5,2.91,Lawnmower Man 2: Beyond Cyberspace (1996)
60,68,5,3.4,3.31,French Twist (Gazon maudit) (1995)
61,69,20,3.775,3.6,Friday (1995)
62,70,55,3.5090909090909093,3.47,From Dusk Till Dawn (1996)
63,71,5,1.7,2.75,Fair Game (1995)
64,72,7,3.2142857142857144,3.24,Kicking and Screaming (1995)
65,73,13,3.4615384615384617,3.37,"Misérables, Les (1995)"
66,74,8,4.0,3.58,Bed of Roses (1996)
67,75,5,2.2,2.92,Big Bully (1996)
68,76,15,3.4,3.34,Screamers (1995)
69,77,1,4.0,3.33,Nico Icon (1995)
70,78,3,3.3333333333333335,3.28,"Crossing Guard, The (1995)"
71,79,17,2.764705882352941,2.95,"Juror, The (1996)"
72,80,2,4.0,3.38,"White Balloon, The (Badkonake sefid) (1995)"
73,81,14,3.107142857142857,3.17,Things to Do in Denver When You're Dead (1995)
74,82,8,3.875,3.53,Antonia's Line (Antonia) (1995)
75,83,1,3.0,3.24,Once Upon a Time... When We Were Colored (1995)
76,85,7,3.857142857142857,3.5,Angels and Insects (1995)
77,86,15,3.966666666666667,3.68,White Squall (1996)
78,87,7,2.5,2.96,Dunston Checks In (1996)
79,88,16,3.15625,3.2,Black Sheep (1996)
80,89,10,3.25,3.26,Nick of Time (1995)
81,92,8,2.625,2.98,Mary Reilly (1996)
82,93,9,2.8333333333333335,3.06,Vampire in Brooklyn (1995)
83,94,10,3.95,3.6,Beautiful Girls (1996)
84,95,84,3.0238095238095237,3.05,Broken Arrow (1996)
85,96,1,3.5,3.28,In the Bleak Midwinter (1995)
86,97,10,3.9,3.58,"Hate (Haine, La) (1995)"
87,99,2,5.0,3.54,Heidi Fleiss: Hollywood Madam (1995)
88,100,14,2.7857142857142856,2.99,City Hall (1996)
89,101,23,3.782608695652174,3.62,Bottle Rocket (1996)
90,102,5,2.4,2.98,Mr. Wrong (1996)
91,103,3,3.0,3.2,Unforgettable (1996)
92,104,99,3.4393939393939394,3.42,Happy Gilmore (1996)
93,105,23,3.282608695652174,3.28,"Bridges of Madison County, The (1995)"
