Feature,Count
man,56.696693
love,40.510807
day,35.061676
night,34.06872
netflix,33.302105
queue,32.816147
netflix queue,32.816147
girl,32.067326
ii,29.197409
boy,28.207335
life,27.641027
la,26.354315
last,25.258623
war,25.246546
king,24.66078
world,24.404774
time,23.791115
dead,23.54012
death,22.332504
american,22.078514
house,21.423645
christmas,21.170965
woman,21.112709
little,20.760176
le,20.349764
big,20.28535
men,20.142138
blue,19.50674
mr,19.29695
high,19.07451
aka,18.759174
dark,18.757576
new,18.12283
black,18.091427
one,18.025227
dog,17.875515
child,17.600256
red,17.424137
game,17.204903
de,16.86556
ghost,16.671774
kid,15.623746
wild,15.455183
go,15.334155
adventure,15.1817665
white,14.985803
earth,14.715575
thing,14.621292
return,14.386491
city,14.385214
heart,14.229695
iii,14.218691
part,14.127573
angel,13.941383
brother,13.328106
star,13.305168
secret,13.19242
school,13.1716175
eye,13.045868
great,12.917262
lost,12.91711
planet,12.913513
dragon,12.81438
get,12.775335
year,12.686984
way,12.569783
tale,12.512741
two,12.451145
legend,12.278523
comedy,12.149709
street,12.135109
family,12.04149
guy,11.847429
blood,11.821572
three,11.692946
first,11.626691
book,11.331364
home,11.216623
live,11.172842
space,11.151696
alien,11.0515585
killer,10.963723
dream,10.861322
people,10.858035
back,10.843075
cop,10.832851
monster,10.799559
kill,10.700542
party,10.617549
baby,10.58938
best,10.518355
town,10.496568
sea,10.4332695
america,10.405348
th,10.394323
doctor,10.255516
end,10.15562
devil,10.145842
wedding,10.089475
son,9.941957
crime,9.89424
hill,9.839742
god,9.835271
perfect,9.790399
iron,9.738389
hero,9.698457
road,9.671799
final,9.666181
train,9.650938
fire,9.581107
business,9.550441
dr,9.47138
money,9.304575
york,9.301736
cat,9.20369
beautiful,9.167723
island,9.1399975
hard,9.056007
summer,9.047603
soldier,9.034685
die,9.004378
spy,9.003108
jack,9.002404
hour,8.977162
new york,8.89402
funny,8.87954
revenge,8.841959
room,8.819343
lady,8.79103
crazy,8.67838
murder,8.641412
music,8.611679
run,8.555836
paradise,8.554048
john,8.479469
father,8.458271
green,8.458058
thief,8.4493265
next,8.415792
evil,8.334146
kiss,8.294906
batman,8.272028
vampire,8.239608
sister,8.173962
shadow,8.161854
true,8.156799
heaven,8.113237
moon,8.042209
gun,7.9969163
ninja,7.963018
young,7.9408646
disney,7.93776
rock,7.9224315
beyond,7.819632
hell,7.7786584
call,7.730887
body,7.665021
superhero,7.651065
long,7.6373267
race,7.635685
double,7.625452
river,7.621283
friday,7.5605307
stranger,7.5517764
im,7.5341177
seven,7.4764237
art,7.4493666
wolf,7.443486
frankenstein,7.4428215
journey,7.4140453
witch,7.4083138
date,7.3972936
hot,7.3892965
beauty,7.260536
diary,7.256428
walk,7.2477202
beast,7.245245
high school,7.24276
fall,7.203788
beach,7.1778255
cold,7.1484733
land,7.134113
park,7.1238785
friend,7.1035175
play,7.041845
carol,6.886034
law,6.873637
shakespeare,6.8700547
giant,6.8255377
company,6.8230796
snow,6.815493
joe,6.809184
atmospheric,6.8013244
generation,6.80018
saw,6.794579
bird,6.779619
league,6.7656097
police,6.750285
battle,6.7484093
rose,6.7376
heist,6.733913
johnny,6.726282
take,6.7042246
animal,6.679723
state,6.6696033
four,6.6681666
religion,6.641604
human,6.6270795
water,6.623544
travel,6.61216
knight,6.6085925
master,6.558599
nothing,6.5475597
ending,6.5227165
escape,6.5019026
let,6.489442
class,6.4808717
paris,6.47895
top,6.463314
holiday,6.429966
captain,6.4269323
ride,6.4250917
bride,6.422565
ice,6.4113584
dont,6.3907423
sex,6.3818674
sherlock,6.374413
harry,6.359822
fury,6.3489275
fear,6.326422
horse,6.316609
deep,6.3125687
politics,6.2668195
wife,6.2569046
ring,6.256004
jane,6.228121
talk,6.218176
meet,6.208554
sky,6.2027154
ball,6.1994686
halloween,6.181936
face,6.180706
know,6.1630936
rush,6.156056
action,6.1306925
hollywood,6.098804
car,6.084852
princess,6.0654073
samurai,6.0605354
il,6.0442705
super,6.0309286
midnight,6.022091
tom,6.0220227
dracula,6.0105205
mother,6.006999
et,5.9938736
pink,5.981096
spirit,5.962688
jungle,5.961753
trip,5.9344163
lord,5.9312844
rise,5.911963
zombie,5.8846507
dance,5.8842006
trouble,5.8677073
never,5.8616424
taxi,5.8585563
jones,5.8525176
camp,5.844996
dawn,5.8442907
magic,5.834693
alice,5.826675
bear,5.817019
hood,5.801897
arthur,5.790905
bone,5.7885027
light,5.783188
project,5.7674932
shot,5.766947
away,5.765658
robot,5.763345
santa,5.75638
without,5.75279
adam,5.752529
side,5.742694
age,5.7423506
sweet,5.7410192
head,5.739811
holmes,5.7380033
miss,5.7190413
club,5.7126656
old,5.6761637
dirty,5.637714
tomorrow,5.6123514
happy,5.6115794
bill,5.594461
warrior,5.590578
stone,5.5769534
place,5.571502
another,5.562133
pride,5.551152
texas,5.5417404
england,5.5303593
golden,5.530112
gold,5.528969
eagle,5.507273
romance,5.484697
henry,5.417867
sun,5.376013
drive,5.360921
da,5.360776
lion,5.3566103
show,5.3547215
twist,5.348909
fly,5.331481
zone,5.3275514
jason,5.3201776
prince,5.2978597
horror,5.2942977
heat,5.287643
welcome,5.286743
fast,5.283926
power,5.237566
sherlock holmes,5.236893
robin,5.23175
guardian,5.207347
boxing,5.1938543
mystery,5.1911874
enemy,5.1802535
five,5.179231
george,5.174061
christmas carol,5.1590667
hamlet,5.1569095
der,5.154429
air,5.145978
miracle,5.144472
max,5.143271
living,5.114983
hunter,5.107548
stand,5.1040287
lover,5.098071
job,5.086035
come,5.073277
fool,5.071945
assassin,5.0662556
real,5.0545177
tokyo,5.0534773
glory,5.039231
michael,5.0284476
cinderella,5.0241623
el,5.0149903
wrong,5.001079
machine,5.0008655
avenger,4.987216
force,4.982951
edge,4.9627976
pirate,4.954624
catch,4.9538364
mummy,4.947707
spider,4.9334126
mountain,4.9272847
wood,4.9143305
journalism,4.8956738
voice,4.8948603
second,4.8902507
shes,4.884737
zero,4.869227
assassination,4.8597846
oscar,4.857591
jackass,4.856356
court,4.8539653
made,4.8371515
wish,4.836306
affair,4.8205976
hotel,4.811768
mine,4.804918
winter,4.797292
mental,4.790128
furious,4.784016
treasure,4.7815194
di,4.7768755
mom,4.740374
stephen,4.733966
name,4.730603
alive,4.721163
door,4.7116547
national,4.7012763
general,4.6911387
mighty,4.6617255
runaway,4.657822
godzilla,4.6542726
phantom,4.650834
amityville,4.6414204
dangerous,4.6375227
mafia,4.632651
hunt,4.6229067
stop,4.6078153
trek,4.594435
star trek,4.594435
mad,4.5932436
army,4.5697093
color,4.563032
jim,4.5413747
stephen king,4.533018
radio,4.5060754
nightmare,4.49961
empire,4.4951344
song,4.485471
scary,4.4791737
president,4.474215
soul,4.471929
fugitive,4.468476
chronicle,4.4619946
express,4.452731
gone,4.4440975
rain,4.44204
truth,4.441334
twin,4.4227824
psychology,4.421306
born,4.4202085
dragon ball,4.4122148
un,4.40356
mar,4.3981175
australia,4.3974466
massacre,4.397385
quest,4.366618
wind,4.3611193
west,4.359858
valley,4.351267
bridge,4.3486605
part ii,4.336343
brain,4.3286676
number,4.3285995
babylon,4.3222733
fog,4.3208585
ben,4.317201
silent,4.287372
cowboy,4.2831087
want,4.281166
demon,4.2773337
story,4.2694616
wizard,4.250673
running,4.242995
remember,4.2413216
adolescence,4.23787
sunset,4.23555
amazing,4.233499
illness,4.2319007
neighbor,4.220468
blade,4.2186036
musketeer,4.2140064
du,4.2133856
point,4.209844
turtle,4.1909037
iv,4.1865215
circus,4.176227
monkey,4.1748147
mask,4.165743
brown,4.165064
duck,4.1637564
vietnam,4.160477
private,4.1570573
safe,4.13918
free,4.1387024
ape,4.1377134
beverly,4.132961
castle,4.1231675
fu,4.1230435
toy,4.1153708
garden,4.10732
queen,4.1055374
planet ape,4.1054387
adultery,4.0990667
better,4.0903063
london,4.0787926
dinosaur,4.0755496
south,4.0722666
eight,4.054584
darkness,4.0530667
curse,4.0449204
time travel,4.0434475
band,4.0398397
comic,4.0388117
country,4.0246735
holocaust,4.0086102
honor,4.004533
divorce,4.001713
revolution,4.000114
robocop,4.0
plan,3.9982975
fish,3.990751
potter,3.98929
right,3.9891915
india,3.9821053
animation,3.9804587
saint,3.9753742
surreal,3.9736397
rio,3.9701345
runner,3.9677262
loser,3.9663622
charlie,3.9614089
visually,3.9610844
rocky,3.955969
thought,3.955642
alone,3.954818
underworld,3.948012
word,3.9463565
mission,3.9407315
pan,3.9362798
spring,3.9345977
memory,3.9210668
disaster,3.918299
paper,3.9169095
strange,3.9134295
dad,3.8967986
mirror,3.887422
rising,3.8791928
blind,3.8788106
doll,3.8713734
food,3.8617995
bring,3.8574288
wonderland,3.8518157
panther,3.84243
control,3.8375788
cry,3.819328
attack,3.8183784
broken,3.7910783
st,3.7874527
easy,3.78477
wanted,3.7728064
china,3.7721577
mile,3.7710009
killing,3.7705135
watch,3.7700498
remake,3.7609813
line,3.7580671
future,3.7557063
quirky,3.7484093
must,3.745798
kingdom,3.7454329
vacation,3.7364202
suspense,3.7337718
plot,3.7336917
honey,3.7287285
psycho,3.7188344
hand,3.714619
drug,3.7146015
star war,3.7109296
nick,3.7037978
world war,3.696252
present,3.6923113
lucky,3.6914463
stay,3.6910574
grace,3.6906672
nine,3.6817846
beverly hill,3.6756258
sugar,3.6720097
short,3.6713138
oh,3.667315
hunger,3.6601253
came,3.6599803
prime,3.6508412
stupid,3.6504128
eddie,3.642316
valentine,3.639616
sunshine,3.6350706
superman,3.6287227
sci fi,3.6269953
fi,3.6269953
sci,3.6269953
foot,3.6259887
justice,3.622827
creep,3.6146483
dave,3.6071594
single,3.6021242
mutant,3.6017299
falling,3.6004143
leprechaun,3.594079
getaway,3.5853636
letter,3.5824475
daddy,3.5575318
emma,3.5574656
daughter,3.5571616
lie,3.549722
terror,3.5496087
cant,3.547873
serial,3.5407956
tango,3.5348415
pokmon,3.5316865
cinematography,3.5281234
quiet,3.5215995
sequel,3.5201652
gentleman,3.501794
pacific,3.5006206
cool,3.4966443
agent,3.495594
inside,3.4946196
thought provoking,3.4934332
provoking,3.4934332
flower,3.4909992
history,3.4884875
africa,3.485144
iron man,3.4840486
fat,3.48368
still,3.4797885
fever,3.4763045
sam,3.4755704
lawyer,3.4750683
humor,3.4743872
meatball,3.4742427
billy,3.4728334
twilight,3.4719934
mental illness,3.4713166
civil,3.4701104
yard,3.4683328
ocean,3.4668255
inferno,3.4638891
sexuality,3.4597242
pie,3.4568372
picture,3.4507668
friday th,3.4440017
kong,3.4359384
gang,3.4323964
damned,3.4247763
rome,3.4246473
genius,3.4219203
peter,3.4207683
bob,3.4196994
gift,3.4153848
flight,3.412449
code,3.4023287
week,3.3994155
missing,3.392973
chair,3.390668
mike,3.385379
death wish,3.3849657
fallen,3.383826
twist ending,3.380118
robert,3.3790119
pooh,3.3729458
winnie,3.3729458
winnie pooh,3.3729458
puppet,3.3692229
louis,3.3665314
happiness,3.3629768
see,3.3622854
epic,3.3605418
scared,3.360367
vega,3.3535624
bandit,3.3517494
bunny,3.3506017
saving,3.3443325
creature,3.3376303
beginning,3.3332102
priest,3.331042
open,3.315805
pink panther,3.3108125
voyage,3.3054824
smith,3.2996724
upon,3.297815
kung,3.294359
madagascar,3.2938983
youth,3.2928941
detective,3.2770798
crow,3.267115
plane,3.262178
military,3.2595763
television,3.2584658
eden,3.2580361
manhattan,3.2572198
ernest,3.2549915
buddy,3.2530537
circle,3.2504356
fun,3.2485652
teacher,3.235661
james,3.234829
rogers,3.2311585
longest,3.2307367
doo,3.2302475
bobby,3.2276316
eve,3.22644
post,3.219587
going,3.2167506
shark,3.2155669
rule,3.2073224
wonder,3.206762
got,3.2054768
visually appealing,3.199957
appealing,3.199957
dune,3.1998005
society,3.1989794
maniac,3.1955638
pinocchio,3.1924114
freak,3.190229
cut,3.1894648
taking,3.1889243
fantastic,3.1815245
comic book,3.1789708
frozen,3.1766694
mind,3.1684241
goodbye,3.165208
doom,3.1638708
bully,3.163858
chapter,3.1596375
mouse,3.151846
deadly,3.1511152
million,3.1506987
could,3.141974
incredible,3.141783
hole,3.1401532
who,3.1390688
luck,3.1274242
racism,3.123877
sunday,3.1216333
milk,3.115484
exorcist,3.1145802
julia,3.107038
fast furious,3.1044075
candy,3.1031156
jump,3.0970516
chocolate,3.096137
sand,3.0941546
muppet,3.0919156
bullet,3.0906086
babe,3.085491
weapon,3.0844157
chainsaw,3.0828855
dinner,3.0796769
grave,3.0689287
gangster,3.0672903
king kong,3.066683
doragon bru,3.0651681
bru,3.0651681
doragon,3.0651681
teenage,3.0604827
season,3.056177
national lampoon,3.0557146
lampoon,3.0557146
requiem,3.0553026
wall,3.0539849
spoof,3.053874
brave,3.053077
disability,3.05011
dick,3.048504
east,3.0465875
nation,3.045687
serial killer,3.0453863
up,3.0441658
begin,3.0439708
transformer,3.0418427
special,3.0404346
nowhere,3.03852
destination,3.0343478
english,3.032246
touch,3.024821
passion,3.0169506
collector,3.0164583
messenger,3.0137658
silence,3.0124905
tv,3.0025444
scooby doo,3.0005095
scooby,3.0005095
rope,3.0
transporter,3.0
airport,3.0
despicable,3.0
expendables,3.0
kidnapping,2.9979076
hope,2.9944339
unknown,2.994183
bright,2.9931483
anne,2.9876246
puppet master,2.9868574
bee,2.9858966
anna,2.983164
shell,2.9826353
ghost shell,2.9826353
fantasy,2.9771442
immigrant,2.972691
liar,2.9677613
captain america,2.9662182
nature,2.966065
muppets,2.9603128
los,2.956586
invincible,2.9564295
blow,2.9508042
civil war,2.950074
american pie,2.9493735
opera,2.9488695
hall,2.947002
predator,2.9452033
bourne,2.9418654
reality,2.9398413
instinct,2.9371605
lake,2.9359546
skin,2.9345307
day night,2.934275
naked,2.93415
academy,2.929801
morning,2.9260921
upon time,2.9201524
yet,2.9198608
sin,2.9140558
thin,2.9111907
emotional,2.909528
pitch,2.9091578
steel,2.9014084
anything,2.90099
list,2.8954358
feast,2.8916216
submarine,2.8891492
step,2.8857644
pretty,2.8849015
walking,2.884225
highlander,2.8830042
citizen,2.881218
drop,2.8766549
carrie,2.87215
making,2.8705935
north,2.8698454
factory,2.8695314
robin hood,2.8694768
whats,2.8663232
phantasm,2.8657243
major,2.865465
slasher,2.8621407
ex,2.8595068
jesus,2.8579965
sing,2.8578253
spider man,2.8574529
forever,2.856229
kind,2.854425
invasion,2.8471384
ugly,2.844886
david,2.8434272
everything,2.840067
deal,2.837832
lethal,2.8366675
screwball,2.8238513
flying,2.8220122
ice age,2.8213406
style,2.820911
miller,2.8198466
dark comedy,2.8197877
arm,2.8188963
behind,2.816916
fairy,2.814375
heavy,2.810514
carter,2.8079484
odyssey,2.807681
prejudice,2.807466
steve,2.8011785
prison,2.7981477
make,2.7973614
gate,2.7949674
based,2.7948143
science,2.7932017
flash,2.7932007
happened,2.7920647
grand,2.7863364
secret life,2.7841864
close,2.7800603
pet,2.7770677
apocalypse,2.7769449
prostitution,2.772431
angry,2.7716422
final destination,2.7713847
impossible,2.770946
ranger,2.7615123
police academy,2.7607884
piranha,2.7599504
ever,2.7576509
win,2.756398
dear,2.7552013
anime,2.754112
team,2.7517972
act,2.7435288
titan,2.739552
emperor,2.7392926
austen,2.738061
jaw,2.7369266
child play,2.7335439
kung fu,2.732652
kelly,2.732105
cure,2.7320614
idiot,2.7281065
wing,2.7271864
tall,2.7260492
broadway,2.7234313
texas chainsaw,2.717485
married,2.7170289
shanghai,2.7160997
wrath,2.7131405
turn,2.7130303
much,2.711996
haunted,2.7108707
bell,2.7101197
siege,2.7069952
public,2.7054436
break,2.697813
cross,2.6957927
suspect,2.692598
elm,2.6924913
nightmare elm,2.6924913
elm street,2.6924913
marriage,2.692014
tiger,2.6851983
barefoot,2.6730514
case,2.6728292
creek,2.669454
extreme,2.6685758
wire,2.6666358
die hard,2.662691
grey,2.6625872
drag,2.6576161
obsession,2.652281
cube,2.6510777
