movieId,title,release_year
73,"Misérables, Les",1995
148,"Awfully Big Adventure, An",1995
154,Beauty of the Day (Belle de jour),1967
178,Love & Human Remains,1993
181,Mighty Morphin Power Rangers: The Movie,1995
231,Dumb & Dumber (Dumb and Dumber),1994
242,Farinelli: il castrato,1994
253,Interview with the Vampire: The Vampire Chronicles,1994
273,Mary Shelley's Frankenstein (Frankenstein),1994
321,Strawberry and Chocolate (Fresa y chocolate),1993
328,Tales from the Crypt Presents: Demon Knight,1995
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",1994
388,Boys Life,1995
389,"Colonel Chabert, Le",1994
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),1994
430,Calendar Girl,1993
638,Jack and Sarah,1995
790,"Unforgettable Summer, An (Un été inoubliable)",1994
795,Somebody to Love,1994
842,Tales from the Crypt Presents: Bordello of Blood,1996
900,"American in Paris, An",1951
922,Sunset Blvd. (a.k.a. Sunset Boulevard),1950
932,"Affair to Remember, An",1957
1059,William Shakespeare's Romeo + Juliet,1996
1105,Children of the Corn IV: The Gathering,1996
1151,Lesson Faust,1994
1194,Cheech and Chong's Up in Smoke,1978
1202,Withnail & I,1987
1223,"Grand Day Out with Wallace and Gromit, A",1989
1233,"The Boot, Das (Boat)",1981
1238,Local Hero,1983
1240,The Terminator,1984
1241,Dead Alive (Braindead),1992
1242,Glory,1989
1243,Rosencrantz and Guildenstern Are Dead,1990
1244,Manhattan,1979
1245,Miller's Crossing,1990
1246,Dead Poets Society,1989
1247,The Graduate,1967
1248,Touch of Evil,1958
1249,"Femme Nikita, La (Nikita)",1990
1250,The Bridge on the River Kwai,1957
1251,8 1/2 (8½),1963
1252,Chinatown,1974
1253,The Day the Earth Stood Still,1951
1254,The Treasure of the Sierra Madre,1948
1255,Bad Taste,1987
1256,Duck Soup,1933
1257,Better Off Dead...,1985
1258,The Shining,1980
1259,Stand by Me,1986
1260,M,1931
1261,Evil Dead II (Dead by Dawn),1987
1262,The Great Escape,1963
1263,The Deer Hunter,1978
1264,Diva,1981
1265,Groundhog Day,1993
1266,Unforgiven,1992
1267,The Manchurian Candidate,1962
1268,Pump Up the Volume,1990
1269,Arsenic and Old Lace,1944
1270,Back to the Future,1985
1271,Fried Green Tomatoes,1991
1272,Patton,1970
1273,Down by Law,1986
1274,Akira,1988
1275,Highlander,1986
1276,Cool Hand Luke,1967
1277,Cyrano de Bergerac,1990
1278,Young Frankenstein,1974
1279,Night on Earth,1991
1280,Raise the Red Lantern (Da hong deng long gao gao gua),1991
1281,The Great Dictator,1940
1282,Fantasia,1940
1283,High Noon,1952
1284,The Big Sleep,1946
1285,Heathers,1989
1286,Somewhere in Time,1980
1287,Ben-Hur,1959
1288,This Is Spinal Tap,1984
1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance),1983
1290,Some Kind of Wonderful,1987
1291,Indiana Jones and the Last Crusade,1989
1292,Being There,1979
1293,Gandhi,1982
1295,The Unbearable Lightness of Being,1988
1296,"Room with a View, A",1986
1297,Real Genius,1985
1298,Pink Floyd: The Wall,1982
1299,The Killing Fields,1984
1300,My Life as a Dog (Mitt liv som hund),1985
1301,Forbidden Planet,1956
1321,"American Werewolf in London, An",1981
1474,Jungle2Jungle (a.k.a. Jungle 2 Jungle),1997
1684,Mrs. Dalloway,1997
1713,Mouse Hunt,1997
1734,My Life in Pink (Ma vie en rose),1997
1739,3 Ninjas: High Noon On Mega Mountain,1998
1873,"Misérables, Les",1998
1900,The Children of Heaven (Bacheha-Ye Aseman),1997
1976,Friday the 13th Part 3: 3D,1982
1977,Friday the 13th Part IV: The Final Chapter,1984
1978,Friday the 13th Part V: A New Beginning,1985
1980,Friday the 13th Part VII: The New Blood,1988
2008,The This Worldn the Fireworks,1997
2015,The Absent-Minded Professor,1961
2027,Jane Austen's Mafia!,1998
2141,"American Tail, An",1986
2142,"American Tail: Fievel Goes West, An",1991
2155,The Slums of Beverly Hills,1998
2248,Say Anything...,1989
2330,Hands on a Hard Body,1996
2364,The Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla),1984
2399,Santa Claus: The Movie,1985
2495,"The Fantastic Planet (Planète sauvage, La)",1973
2542,"Lock, Stock & Two Smoking Barrels",1998
