movieId,title,release_year
181,Mighty Morphin Power Rangers: The Movie,Unknown
242,Farinelli: il castrato,Unknown
253,Interview with the Vampire: The Vampire Chronicles,Unknown
328,Tales from the Crypt Presents: Demon Knight,Unknown
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",Unknown
388,Boys Life,Unknown
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),Unknown
842,Tales from the Crypt Presents: Bordello of Blood,Unknown
922,Sunset Blvd. (a.k.a. Sunset Boulevard),Unknown
1105,Children of the Corn IV: The Gathering,Unknown
1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance),Unknown
1474,Jungle2Jungle (a.k.a. Jungle 2 Jungle),Unknown
1739,3 Ninjas: High Noon On Mega Mountain,Unknown
1900,The Children of Heaven (Bacheha-Ye Aseman),Unknown
2008,The This Worldn the Fireworks,Unknown
2155,The Slums of Beverly Hills,Unknown
2330,Hands on a Hard Body,Unknown
2364,The Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla),Unknown
2700,"South Park: Bigger, Longer and Uncut",Unknown
2794,European Vacation (aka National Lampoon's European Vacation),Unknown
3568,Smiling Fish and Goat on Fire,Unknown
4074,"The Legend of Rita (Stille nach dem Schuß, Die)",Unknown
4142,Left Behind: The Movie,Unknown
4160,"The Widow of St. Pierre (Veuve de Saint-Pierre, La)",Unknown
4193,The Fantasticks,Unknown
4278,Triumph of the Will (Triumph des Willens),Unknown
4291,Nine to Five (a.k.a. 9 to 5),Unknown
4350,Forgotten Silver,Unknown
4439,Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo),Unknown
4444,The Way of the Dragon (a.k.a. Return of the Dragon) (Meng long guo jiang),Unknown
4459,Alaska: Spirit of the Wild,Unknown
4517,Lady in White (a.k.a. The Mystery of the Lady in White),Unknown
4534,Return to Snowy River (a.k.a. The Man From Snowy River II),Unknown
4552,"Tetsuo, the Ironman (Tetsuo)",Unknown
4600,Gross Anatomy (a.k.a. A Cut Above),Unknown
4642,Hedwig and the Angry Inch,Unknown
4708,Marat/Sade,Unknown
4788,Moscow Does Not Believe in Tears (Moskva slezam ne verit),Unknown
4846,Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau),Unknown
4850,Spriggan (Supurigan),Unknown
4876,Thirteen Ghosts (a.k.a. Thir13en Ghosts),Unknown
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),Unknown
4954,Ocean's Eleven (a.k.a. Ocean's 11),Unknown
4961,Pornstar: The Legend of Ron Jeremy,Unknown
5028,What Time Is It There? (Ni neibian jidian),Unknown
5060,M*A*S*H (a.k.a. MASH),Unknown
5068,Beijing Bicycle (Shiqi sui de dan che),Unknown
5165,Zombie (a.k.a. Zombie 2: The Dead Are Among Us) (Zombi 2),Unknown
5209,Ffolkes,Unknown
5304,"Rome, Open City (a.k.a. Open City) (Roma, città aperta)",Unknown
5325,Dogtown and Z-Boyz,Unknown
5333,Bob le Flambeur,Unknown
5391,Thirteen Conversations About One Thing (a.k.a. 13 Conversations),Unknown
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),Unknown
5497,Our Man Flint,Unknown
5532,Amy's O (a.k.a. Amy's Orgasm),Unknown
5556,FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com),Unknown
5614,"The His Secret Life (a.k.a. Ignorant Fairies) (Fate ignoranti, Le)",Unknown
5672,Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie),Unknown
5720,"Friend Is a Treasure, A (Chi Trova Un Amico, Trova un Tesoro) (Who Finds a Friend Finds a Treasure)",Unknown
6025,CB4 - The Movie,Unknown
7033,The Secret of My Succe$s (a.k.a. The Secret of My Success),Unknown
7745,The Scent of Green Papaya (Mùi du du xhan - L'odeur de la papaye verte),Unknown
7749,Weekend (a.k.a. Le Week-end) (Week End),Unknown
7762,"Tinker, Tailor, Soldier, Spy",Unknown
7781,Twister,Unknown
7841,Children of Dune,Unknown
7899,Master of the Flying Guillotine (Du bi quan wang da po xue di zi),Unknown
8157,Jin Roh: The Wolf Brigade (Jin-Rô),Unknown
8228,The Maltese Falcon (a.k.a. Dangerous Female),Unknown
8426,Robot Carnival (Roboto kânibauru),Unknown
8575,"Happenstance (Battement d'ailes du papillon, Le)",Unknown
8848,"Vitelloni, I (a.k.a. The Young and the Passionate)",Unknown
26236,The White Sun of the Desert (Beloe solntse pustyni),Unknown
26587,The Decalogue (Dekalog),Unknown
27899,What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?),Unknown
53161,"I'm a Cyborg, But That's OK (Saibogujiman kwenchana)",Unknown
53355,Sun Alley (Sonnenallee),Unknown
53453,Starcrash (a.k.a. Star Crash),Unknown
53883,The Power of Nightmares: The Rise of the Politics of Fear,Unknown
55207,Cashback,Unknown
57772,World on a Wire (Welt am Draht),Unknown
59985,Chaos Theory,Unknown
60128,Young People Fucking (a.k.a. YPF),Unknown
60333,Encounters at the End of the World,Unknown
61257,I.O.U.S.A. (a.k.a. IOUSA),Unknown
61406,John Adams,Unknown
62336,FLCL,Unknown
63433,Farscape: The Peacekeeper Wars,Unknown
64695,Sword of the Stranger (Sutorejia: Mukô hadan),Unknown
65359,Earthsea (Legend of Earthsea),Unknown
66544,Nuremberg,Unknown
68959,Fullmetal Alchemist the Movie: Conqueror of Shamballa (Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono),Unknown
69224,Marius and Jeanette (Marius et Jeannette),Unknown
69453,The Land That Time Forgot,Unknown
69524,Raiders of the Lost Ark: The Adaptation,Unknown
69953,9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn),Unknown
70521,Lost in Austen,Unknown
70637,I Can't Think Straight,Unknown
71341,Blood Creek (a.k.a. Town Creek),Unknown
73290,Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale),Unknown
73569,Project A 2 ('A' gai wak juk jap),Unknown
74226,"The Dream of Light (a.k.a. Quince Tree Sun) (Sol del membrillo, El)",Unknown
74282,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea),Unknown
74727,Gentlemen of Fortune (Dzhentlmeny udachi),Unknown
77177,Wild China,Unknown
78626,Barking Dogs Never Bite (Flandersui gae),Unknown
78637,Shrek Forever After (a.k.a. Shrek: The Final Chapter),Unknown
79299,The No. 1 Ladies' Detective Agency,Unknown
79501,Deadly Outlaw: Rekka (a.k.a. Violent Fire) (Jitsuroku Andô Noboru kyôdô-den: Rekka),Unknown
85179,Summer Wars (Samâ wôzu),Unknown
85736,BURN-E,Unknown
86068,Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad),Unknown
86487,Mildred Pierce,Unknown
88593,The Yellow Sea (a.k.a. The Murderer) (Hwanghae),Unknown
88697,SUBWAYStories: Tales from the Underground,Unknown
90245,Antonio Gaudí,Unknown
90863,George Harrison: Living in the Material World,Unknown
94777,Men in Black III (M.III.B.) (M.I.B.³),Unknown
95165,Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu),Unknown
95182,Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen),Unknown
95738,The Adventures of Mary-Kate and Ashley: The Case of the Christmas Caper,Unknown
95796,Anaconda: The Offspring,Unknown
96518,Prime Suspect 6: The Last Witness,Unknown
99532,"Misérables, Les",Unknown
107449,"Muppet Christmas: Letters to Santa, A",Unknown
110541,The Brain Smasher... A Love Story (Bouncer and the Lady),Unknown
122926,Untitled Spider-Man Reboot,Unknown
